Timestamp,No,Age,Gender,Experience,Degree,Major,FM_1,FM_2,GM_1,FM_3,GM_2,FM_4,GM_3,GM_4,FM_5,FM_6,GM_5,FM_7,GM_6,FM_8,GM_7,GM_8,SA_1,SA_2,SA_3,SA_4,SA_5,SA_6,DA_1,DA_2,DA_3,DA_4,ENFE_1,ENFE_2,ENFE_3,TI_1,TI_2,TI_3,TI_4
2023/12/17 12:28:37 PM GMT+3:30,120,29,2,5,2,1,3,4,4,3,4,3,4,4,3,4,5,2,5,2,5,4,3,3,3,2,4,3,4,4,3,4,2,4,3,6,3,2,6
2023/12/17 12:34:23 PM GMT+3:30,121,27,2,3,1,2,2,3,4,2,1,5,5,3,5,4,5,5,4,3,4,5,4,5,4,3,2,2,1,3,3,3,3,3,2,4,4,3,4
2024/01/05 1:37:55 PM GMT+3:30,122,28,1,2,2,1,2,2,5,2,4,2,5,4,2,2,5,2,5,2,5,4,3,2,1,3,1,2,5,1,1,1,4,5,5,1,1,2,2
2024/01/05 1:47:18 PM GMT+3:30,123,24,1,2,1,1,2,2,2,5,5,5,5,2,5,5,2,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,4,4,5,5,4,2
2024/01/05 9:44:45 PM GMT+3:30,124,32,2,5,2,3,2,3,5,3,5,3,5,4,4,4,2,5,3,5,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,1,1,2,4
2024/01/06 3:46:00 PM GMT+3:30,125,26,2,4,1,1,5,5,2,5,2,6,2,4,2,2,5,4,5,4,5,5,3,1,1,1,1,2,4,2,2,4,4,5,5,5,5,6,4
2024/01/12 11:08:46 AM GMT+3:30,126,29,1,3,2,1,3,4,3,2,4,3,5,4,4,5,3,4,3,4,3,2,4,2,2,2,2,3,2,4,4,4,4,4,4,2,6,3,3
2024/01/12 11:45:13 AM GMT+3:30,127,30,2,2,2,2,2,2,5,2,5,2,5,5,2,2,5,2,5,2,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,6,5
2024/01/13 11:38:33 AM GMT+3:30,128,31,2,5,2,1,3,3,4,3,4,3,4,4,3,3,4,3,4,3,4,4,4,2,2,2,2,3,4,4,2,3,4,4,4,2,1,4,3
2024/01/16 9:38:26 AM GMT+3:30,129,26,1,5,1,1,2,2,5,2,4,4,5,4,3,2,5,3,4,3,5,4,4,4,4,4,2,4,4,4,4,3,4,4,2,6,5,4,5
2024/01/17 10:31:07 AM GMT+3:30,130,24,2,4,1,1,3,5,2,2,2,4,5,2,4,4,2,4,2,4,4,2,3,4,3,4,4,3,3,4,3,4,3,3,3,5,3,4,5
2024/01/17 5:25:29 PM GMT+3:30,131,30,2,4,2,1,3,3,4,3,4,4,4,4,6,6,1,6,1,6,1,1,4,5,5,3,4,5,5,2,4,2,4,3,1,1,2,1,1
2024/01/18 9:48:56 AM GMT+3:30,132,23,2,1,1,1,2,2,5,1,5,4,4,4,2,2,4,2,5,3,4,4,4,3,2,4,4,2,2,4,2,5,2,2,3,6,6,7,6
